"CO","NO","NO2","NOX","O3","PM10","PM25"
0.23,1,13,13,56,44,23
0.59,10,30,39,2,24,16
0.35,1,24,25,27,46,19
0.08,1,6,7,57,20,3
0.08,1,12,13,10,7,5
0.57,5,39,44,15,38,19
0.22,3,17,19,4,11,7
0.19,1,16,17,18,55,27
0.39,2,25,27,15,27,17
0.31,1,12,13,32,19,11
0.18,1,10,11,17,12,7
0.02,0,7,7,28,15,10
0.68,1,38,40,54,51,25
0.11,1,13,14,14,19,15
0.1,1,9,9,26,11,10
0.27,12,16,28,14,26,17
0.07,1,8,9,33,17,5
0.49,3,24,27,57,52,30
0.3,2,18,20,15,15,8
0.24,0,15,16,74,27,12
1.31,28,76,105,28,87,51
0.37,3,29,32,3,27,17
0.51,15,25,40,18,32,21
0.34,2,20,21,11,16,14
0.05,1,5,6,15,13,8
0.4,1,19,20,23,40,32
0.54,4,28,32,4,28,21
0.39,2,21,22,77,40,24
0.18,1,18,19,20,44,24
0.84,27,49,76,11,58,34
0.28,2,15,16,51,42,21
0.23,1,15,16,97,26,17
0.13,2,7,9,57,40,12
0.32,1,11,12,15,14,9
0.08,1,9,10,76,35,16
0.19,0,9,9,29,20,18
0.26,7,17,23,22,25,13
0.46,1,30,31,19,34,19
0.42,3,36,39,14,56,10
0.74,18,38,56,14,52,32
0.35,3,22,24,2,22,18
0.89,36,24,60,1,38,29
0.19,1,9,10,34,15,7
0.32,0,15,16,108,64,39
0.37,5,25,30,48,38,24
0.19,1,10,11,28,16,5
0.69,20,39,59,19,48,28
0.16,1,10,12,10,12,8
0.24,1,15,16,13,15,8
0.59,22,29,51,7,35,22
0.18,1,13,14,50,30,23
0.38,0,15,16,114,74,45
0.31,11,18,29,21,20,8
0.22,8,18,26,4,19,14
0.24,7,17,24,8,19,14
0.29,2,22,24,24,26,16
0.31,4,21,25,57,35,18
0.52,3,25,29,6,28,20
0.85,34,26,61,3,28,19
0.45,23,24,47,1,22,10
0.12,1,6,7,33,29,18
0.52,2,23,24,18,21,15
0.56,3,31,34,87,64,42
0.11,0,8,8,113,52,31
0.3,2,16,18,68,54,35
0.38,4,21,25,56,35,21
0.9,3,53,56,20,56,35
0.12,1,15,16,13,18,12
0.18,1,8,8,89,25,15
0.43,2,21,23,42,58,30
0.32,2,24,26,10,23,16
0.09,2,14,16,15,17,12
0.91,56,34,90,3,39,29
0.33,1,17,18,69,37,28
0.27,0,12,11,120,46,29
0.39,1,22,23,25,51,41
0.06,1,11,12,17,8,6
0.32,1,20,21,9,11,8
0.17,1,12,13,26,17,13
0.07,0,7,7,53,20,13
0.17,0,7,7,69,85,30
0.36,2,20,22,18,20,13
0.24,1,17,18,14,24,22
0.52,2,25,26,22,45,24
0.16,5,13,18,27,26,15
0.16,3,15,18,7,9,6
0.12,1,7,8,52,25,8
0.5,11,25,36,3,9,6
0.29,9,16,25,3,10,8
0.47,6,29,35,43,61,44
1.12,65,28,94,2,38,25
0.21,1,16,17,18,23,15
0.24,3,13,16,8,13,10
0.29,4,23,27,53,46,28
0.16,0,8,8,41,35,20
0.33,1,21,22,16,25,15
0.22,1,17,18,45,40,14
0.48,1,25,26,25,36,28
0.37,1,21,23,29,35,24
0.28,1,18,19,7,28,23
0.47,10,33,43,31,48,22
0.48,2,28,29,5,45,36
0.38,5,32,37,55,62,24
0.16,2,17,19,8,26,16
0.44,3,42,45,4,36,16
0.07,1,7,8,9,11,8
0.17,1,11,13,10,15,11
0.38,2,23,25,22,23,15
0.15,1,9,10,65,28,14
0.51,7,33,40,43,43,33
0.22,1,16,17,15,18,9
0.27,2,20,22,38,40,19
0.18,1,10,10,84,68,33
